community_id,state,region,county,product,doses_needed
PALAU__AIMELIIK,PALAU,PALAU,AIMELIIK,PedVaxHib,1
PALAU__AIMELIIK,PALAU,PALAU,AIMELIIK,Vaxelis,1
PALAU__AIMELIIK,PALAU,PALAU,AIMELIIK,Pediarix,0
PALAU__AIMELIIK,PALAU,PALAU,AIMELIIK,DTaP_Single,5
PALAU__AIMELIIK,PALAU,PALAU,AIMELIIK,IPV_Single,5
PALAU__AIMELIIK,PALAU,PALAU,AIMELIIK,MMR_Single,1
PALAU__AIMELIIK,PALAU,PALAU,AIMELIIK,Prevnar,0
PALAU__AIMELIIK,PALAU,PALAU,AIMELIIK,RotaTeq,0
PALAU__AIRAI,PALAU,PALAU,AIRAI,PedVaxHib,38
PALAU__AIRAI,PALAU,PALAU,AIRAI,Vaxelis,4
PALAU__AIRAI,PALAU,PALAU,AIRAI,Pediarix,1
PALAU__AIRAI,PALAU,PALAU,AIRAI,DTaP_Single,31
PALAU__AIRAI,PALAU,PALAU,AIRAI,IPV_Single,26
PALAU__AIRAI,PALAU,PALAU,AIRAI,MMR_Single,16
PALAU__AIRAI,PALAU,PALAU,AIRAI,Prevnar,8
PALAU__AIRAI,PALAU,PALAU,AIRAI,RotaTeq,2
PALAU__ANGAUR,PALAU,PALAU,ANGAUR,PedVaxHib,0
PALAU__ANGAUR,PALAU,PALAU,ANGAUR,Vaxelis,0
PALAU__ANGAUR,PALAU,PALAU,ANGAUR,Pediarix,0
PALAU__ANGAUR,PALAU,PALAU,ANGAUR,DTaP_Single,3
PALAU__ANGAUR,PALAU,PALAU,ANGAUR,IPV_Single,3
PALAU__ANGAUR,PALAU,PALAU,ANGAUR,MMR_Single,0
PALAU__ANGAUR,PALAU,PALAU,ANGAUR,Prevnar,0
PALAU__ANGAUR,PALAU,PALAU,ANGAUR,RotaTeq,0
PALAU__HATOHOBEI,PALAU,PALAU,HATOHOBEI,PedVaxHib,0
PALAU__HATOHOBEI,PALAU,PALAU,HATOHOBEI,Vaxelis,0
PALAU__HATOHOBEI,PALAU,PALAU,HATOHOBEI,Pediarix,0
PALAU__HATOHOBEI,PALAU,PALAU,HATOHOBEI,DTaP_Single,0
PALAU__HATOHOBEI,PALAU,PALAU,HATOHOBEI,IPV_Single,0
PALAU__HATOHOBEI,PALAU,PALAU,HATOHOBEI,MMR_Single,0
PALAU__HATOHOBEI,PALAU,PALAU,HATOHOBEI,Prevnar,0
PALAU__HATOHOBEI,PALAU,PALAU,HATOHOBEI,RotaTeq,0
PALAU__KAYANGEL,PALAU,PALAU,KAYANGEL,PedVaxHib,2
PALAU__KAYANGEL,PALAU,PALAU,KAYANGEL,Vaxelis,0
PALAU__KAYANGEL,PALAU,PALAU,KAYANGEL,Pediarix,0
PALAU__KAYANGEL,PALAU,PALAU,KAYANGEL,DTaP_Single,2
PALAU__KAYANGEL,PALAU,PALAU,KAYANGEL,IPV_Single,2
PALAU__KAYANGEL,PALAU,PALAU,KAYANGEL,MMR_Single,0
PALAU__KAYANGEL,PALAU,PALAU,KAYANGEL,Prevnar,0
PALAU__KAYANGEL,PALAU,PALAU,KAYANGEL,RotaTeq,0
PALAU__KOROR,PALAU,PALAU,KOROR,PedVaxHib,222
PALAU__KOROR,PALAU,PALAU,KOROR,Vaxelis,28
PALAU__KOROR,PALAU,PALAU,KOROR,Pediarix,13
PALAU__KOROR,PALAU,PALAU,KOROR,DTaP_Single,238
PALAU__KOROR,PALAU,PALAU,KOROR,IPV_Single,181
PALAU__KOROR,PALAU,PALAU,KOROR,MMR_Single,138
PALAU__KOROR,PALAU,PALAU,KOROR,Prevnar,67
PALAU__KOROR,PALAU,PALAU,KOROR,RotaTeq,4
PALAU__MELEKEOK,PALAU,PALAU,MELEKEOK,PedVaxHib,2
PALAU__MELEKEOK,PALAU,PALAU,MELEKEOK,Vaxelis,1
PALAU__MELEKEOK,PALAU,PALAU,MELEKEOK,Pediarix,1
PALAU__MELEKEOK,PALAU,PALAU,MELEKEOK,DTaP_Single,5
PALAU__MELEKEOK,PALAU,PALAU,MELEKEOK,IPV_Single,4
PALAU__MELEKEOK,PALAU,PALAU,MELEKEOK,MMR_Single,3
PALAU__MELEKEOK,PALAU,PALAU,MELEKEOK,Prevnar,1
PALAU__MELEKEOK,PALAU,PALAU,MELEKEOK,RotaTeq,0
PALAU__NGARAARD,PALAU,PALAU,NGARAARD,PedVaxHib,3
PALAU__NGARAARD,PALAU,PALAU,NGARAARD,Vaxelis,1
PALAU__NGARAARD,PALAU,PALAU,NGARAARD,Pediarix,0
PALAU__NGARAARD,PALAU,PALAU,NGARAARD,DTaP_Single,5
PALAU__NGARAARD,PALAU,PALAU,NGARAARD,IPV_Single,4
PALAU__NGARAARD,PALAU,PALAU,NGARAARD,MMR_Single,4
PALAU__NGARAARD,PALAU,PALAU,NGARAARD,Prevnar,2
PALAU__NGARAARD,PALAU,PALAU,NGARAARD,RotaTeq,0
PALAU__NGARCHELONG,PALAU,PALAU,NGARCHELONG,PedVaxHib,7
PALAU__NGARCHELONG,PALAU,PALAU,NGARCHELONG,Vaxelis,0
PALAU__NGARCHELONG,PALAU,PALAU,NGARCHELONG,Pediarix,1
PALAU__NGARCHELONG,PALAU,PALAU,NGARCHELONG,DTaP_Single,7
PALAU__NGARCHELONG,PALAU,PALAU,NGARCHELONG,IPV_Single,4
PALAU__NGARCHELONG,PALAU,PALAU,NGARCHELONG,MMR_Single,6
PALAU__NGARCHELONG,PALAU,PALAU,NGARCHELONG,Prevnar,3
PALAU__NGARCHELONG,PALAU,PALAU,NGARCHELONG,RotaTeq,0
PALAU__NGARDMAU,PALAU,PALAU,NGARDMAU,PedVaxHib,2
PALAU__NGARDMAU,PALAU,PALAU,NGARDMAU,Vaxelis,0
PALAU__NGARDMAU,PALAU,PALAU,NGARDMAU,Pediarix,0
PALAU__NGARDMAU,PALAU,PALAU,NGARDMAU,DTaP_Single,6
PALAU__NGARDMAU,PALAU,PALAU,NGARDMAU,IPV_Single,5
PALAU__NGARDMAU,PALAU,PALAU,NGARDMAU,MMR_Single,2
PALAU__NGARDMAU,PALAU,PALAU,NGARDMAU,Prevnar,1
PALAU__NGARDMAU,PALAU,PALAU,NGARDMAU,RotaTeq,0
PALAU__NGAREMLENGUI,PALAU,PALAU,NGAREMLENGUI,PedVaxHib,8
PALAU__NGAREMLENGUI,PALAU,PALAU,NGAREMLENGUI,Vaxelis,2
PALAU__NGAREMLENGUI,PALAU,PALAU,NGAREMLENGUI,Pediarix,1
PALAU__NGAREMLENGUI,PALAU,PALAU,NGAREMLENGUI,DTaP_Single,6
PALAU__NGAREMLENGUI,PALAU,PALAU,NGAREMLENGUI,IPV_Single,4
PALAU__NGAREMLENGUI,PALAU,PALAU,NGAREMLENGUI,MMR_Single,2
PALAU__NGAREMLENGUI,PALAU,PALAU,NGAREMLENGUI,Prevnar,3
PALAU__NGAREMLENGUI,PALAU,PALAU,NGAREMLENGUI,RotaTeq,0
PALAU__NGATPANG,PALAU,PALAU,NGATPANG,PedVaxHib,3
PALAU__NGATPANG,PALAU,PALAU,NGATPANG,Vaxelis,0
PALAU__NGATPANG,PALAU,PALAU,NGATPANG,Pediarix,1
PALAU__NGATPANG,PALAU,PALAU,NGATPANG,DTaP_Single,2
PALAU__NGATPANG,PALAU,PALAU,NGATPANG,IPV_Single,2
PALAU__NGATPANG,PALAU,PALAU,NGATPANG,MMR_Single,3
PALAU__NGATPANG,PALAU,PALAU,NGATPANG,Prevnar,1
PALAU__NGATPANG,PALAU,PALAU,NGATPANG,RotaTeq,0
PALAU__NGCHESAR,PALAU,PALAU,NGCHESAR,PedVaxHib,4
PALAU__NGCHESAR,PALAU,PALAU,NGCHESAR,Vaxelis,2
PALAU__NGCHESAR,PALAU,PALAU,NGCHESAR,Pediarix,0
PALAU__NGCHESAR,PALAU,PALAU,NGCHESAR,DTaP_Single,4
PALAU__NGCHESAR,PALAU,PALAU,NGCHESAR,IPV_Single,4
PALAU__NGCHESAR,PALAU,PALAU,NGCHESAR,MMR_Single,4
PALAU__NGCHESAR,PALAU,PALAU,NGCHESAR,Prevnar,2
PALAU__NGCHESAR,PALAU,PALAU,NGCHESAR,RotaTeq,0
PALAU__NGIWAL,PALAU,PALAU,NGIWAL,PedVaxHib,4
PALAU__NGIWAL,PALAU,PALAU,NGIWAL,Vaxelis,0
PALAU__NGIWAL,PALAU,PALAU,NGIWAL,Pediarix,0
PALAU__NGIWAL,PALAU,PALAU,NGIWAL,DTaP_Single,5
PALAU__NGIWAL,PALAU,PALAU,NGIWAL,IPV_Single,3
PALAU__NGIWAL,PALAU,PALAU,NGIWAL,MMR_Single,3
PALAU__NGIWAL,PALAU,PALAU,NGIWAL,Prevnar,0
PALAU__NGIWAL,PALAU,PALAU,NGIWAL,RotaTeq,0
PALAU__PELELIU,PALAU,PALAU,PELELIU,PedVaxHib,2
PALAU__PELELIU,PALAU,PALAU,PELELIU,Vaxelis,1
PALAU__PELELIU,PALAU,PALAU,PELELIU,Pediarix,0
PALAU__PELELIU,PALAU,PALAU,PELELIU,DTaP_Single,3
PALAU__PELELIU,PALAU,PALAU,PELELIU,IPV_Single,4
PALAU__PELELIU,PALAU,PALAU,PELELIU,MMR_Single,5
PALAU__PELELIU,PALAU,PALAU,PELELIU,Prevnar,1
PALAU__PELELIU,PALAU,PALAU,PELELIU,RotaTeq,0
