community_id,state,region,county,county_join,latitude,longitude,census_total,area_m2,area_km2,population_density_km2,child_population,children_not_utd,proportion_not_utd,utd_coverage,utd_no_mmr_coverage,mmr_eligible_n,mmr_not_utd_n,mmr_coverage,median_months_since_vax,mean_individual_risk,median_individual_risk,p75_individual_risk,high_risk_n,high_risk_percent,census_under5,under5_density_km2,remoteness,access_component,median_risk_component,p75_risk_component,high_risk_percent_component,community_patient_risk_component,log_population_density,density_percentile_component,low_density_component,high_density_component,population_density_missing,low_density_component_for_score,high_density_component_for_score,transmission_component,burden_component,priority_score,priority_rank,priority_group,data_quality_flag,routing_ready
PALAU__HATOHOBEI,PALAU,PALAU,HATOHOBEI,HATOHOBEI,2.88680144025549,131.785801573412,39,700000,0.7,55.714285714285715,1,0,0,100,100,1,0,100,,44.8459958932238,44.8459958932238,44.8459958932238,0,0,,,1,100,44.8459958932238,44.8459958932238,0,35.876796714579044,4.038026131631877,93.33333333333333,6.666666666666671,93.33333333333333,FALSE,6.666666666666671,93.33333333333333,33.48501026694044,0,34.7,1,High,Small denominator,TRUE
PALAU__MELEKEOK,PALAU,PALAU,MELEKEOK,MELEKEOK,7.510969580343021,134.598660477879,318,25000000,25,12.72,19,6,31.57894736842105,68.42105263157895,68.42105263157895,19,3,84.21052631578947,36,39.3911284028003,34.8072096737395,40.56810403832995,3,15.789473684210526,,,0,0,34.8072096737395,40.56810403832995,15.789473684210526,32.15584134875179,2.6188546222977394,33.33333333333333,66.66666666666667,33.33333333333333,FALSE,66.66666666666667,33.33333333333333,10.718613782917261,37.33048224778867,31.5,2,High,Ready,TRUE
PALAU__KOROR,PALAU,PALAU,KOROR,KOROR,7.34027834639506,134.47716797529904,11400,58000000,58,196.55172413793105,936,327,34.93589743589743,65.06410256410257,65.49145299145299,853,71,91.67643610785463,36,31.378396475504623,27.0499657768652,38.1838923112024,40,4.273504273504273,,,0,0,27.0499657768652,38.1838923112024,4.273504273504273,24.721458783060452,5.286000444422104,100,0,100,FALSE,0,100,24.721458783060452,100,27.2,3,High,Ready,TRUE
PALAU__NGARAARD,PALAU,PALAU,NGARAARD,NGARAARD,7.60864697097209,134.62806356476997,396,29000000,29,13.655172413793103,19,6,31.57894736842105,68.42105263157895,68.42105263157895,19,1,94.73684210526315,28.644763860369608,32.78390191769636,31.8183892311202,40.5224731918777,0,0,,,0,0,31.8183892311202,40.5224731918777,0,27.195528177047656,2.6847933389379426,40,60,40,FALSE,60,40,10.878211270819063,0,25.5,4,High,Ready,TRUE
PALAU__AIRAI,PALAU,PALAU,AIRAI,AIRAI,7.389934150576259,134.55518599285497,2529,49000000,49,51.61224489795919,134,41,30.597014925373134,69.40298507462687,70.1492537313433,125,8,93.60000000000001,36,31.25484827743555,26.26283367556465,36.5411818389231,7,5.223880597014925,,,0,0,26.26283367556465,36.5411818389231,5.223880597014925,24.110712692526395,3.962948885388506,86.66666666666667,13.333333333333329,86.66666666666667,FALSE,13.333333333333329,86.66666666666667,20.895951000189545,55.995723371683006,24.9,5,High,Ready,TRUE
PALAU__NGATPANG,PALAU,PALAU,NGATPANG,NGATPANG,7.46595864207202,134.53944842362202,289,35000000,35,8.257142857142858,15,5,33.33333333333333,66.66666666666666,66.66666666666666,12,2,83.33333333333334,36,33.72659517834055,25.9091946155601,41.845767738991555,1,6.666666666666667,,,0,0,25.9091946155601,41.845767738991555,6.666666666666667,25.2480036504677,2.225395454302916,13.333333333333334,86.66666666666667,13.333333333333334,FALSE,86.66666666666667,13.333333333333334,3.366400486729027,18.665241123894337,24.5,6,Moderate,Ready,TRUE
PALAU__NGAREMLENGUI,PALAU,PALAU,NGAREMLENGUI,NGAREMLENGUI,7.531364180271462,134.55032875334,349,61000000,61,5.721311475409836,32,9,28.125,71.875,71.875,28,2,92.85714285714286,36,31.340441763632214,28.40748345881815,37.03171343828425,1,3.125,,,0,0,28.40748345881815,37.03171343828425,3.125,25.075832762947737,1.9052832955250423,0,100,0,FALSE,100,0,0,18.665241123894337,24.3,7,Moderate,Ready,TRUE
PALAU__NGARDMAU,PALAU,PALAU,NGARDMAU,NGARDMAU,7.583217184432602,134.57235503050498,238,30000000,30,7.933333333333334,15,7,46.666666666666664,53.333333333333336,53.333333333333336,15,2,86.66666666666667,36,33.4456612670165,25,40.898927675108354,1,6.666666666666667,,,0,0,25,40.898927675108354,6.666666666666667,24.513118868355004,2.1897895988487015,6.666666666666667,93.33333333333333,6.666666666666667,FALSE,93.33333333333333,6.666666666666667,1.6342079245570003,18.665241123894337,23.8,8,Moderate,Ready,TRUE
PALAU__PELELIU,PALAU,PALAU,PELELIU,PELELIU,7.00543494874462,134.24495906769198,470,17000000,17,27.647058823529413,23,9,39.130434782608695,60.86956521739131,60.86956521739131,21,0,100,18.628336755646817,25.218631273001417,25,36.016427104722794,0,0,,,0.5,50,25,36.016427104722794,0,22.20328542094456,3.355050779026374,73.33333333333333,26.66666666666667,73.33333333333333,FALSE,26.66666666666667,73.33333333333333,16.282409308692678,0,21.4,9,Moderate,Ready,TRUE
PALAU__NGARCHELONG,PALAU,PALAU,NGARCHELONG,NGARCHELONG,7.7080692373321105,134.630066454125,384,8000000,8,48,32,11,34.375,65.625,65.625,30,2,93.33333333333333,22.6694045174538,27.860590634268775,25,31.031257129819775,1,3.125,,,0,0,25,31.031257129819775,3.125,21.831251425963956,3.8918202981106265,80,20,80,FALSE,20,80,17.465001140771165,18.665241123894337,21.3,10,Moderate,Ready,TRUE
PALAU__NGIWAL,PALAU,PALAU,NGIWAL,NGIWAL,7.55871574345938,134.61863825538902,312,16000000,16,19.5,17,8,47.05882352941176,52.94117647058824,52.94117647058824,15,1,93.33333333333333,19.942505133470227,27.936210760827255,25,37.1115674195756,0,0,,,0,0,25,37.1115674195756,0,22.42231348391512,3.0204248861443626,60,40,60,FALSE,40,60,13.453388090349073,0,21.1,11,Low,Ready,TRUE
PALAU__KAYANGEL,PALAU,PALAU,KAYANGEL,KAYANGEL,8.08106628915262,134.71916096379994,41,1700000,1.7,24.11764705882353,7,2,28.57142857142857,71.42857142857143,71.42857142857143,7,0,100,30.767967145790557,27.075388677031388,24.4490075290897,31.0426648414328,0,0,,,0.5,50,24.4490075290897,31.0426648414328,0,20.877937485740382,3.2235706691724086,66.66666666666666,33.33333333333334,66.66666666666666,FALSE,33.33333333333334,66.66666666666666,13.918624990493585,0,20.2,12,Low,Ready,TRUE
PALAU__ANGAUR,PALAU,PALAU,ANGAUR,ANGAUR,6.907105670550999,134.13772847520002,114,8000000,8,14.25,4,3,75,25,25,4,0,100,36,24.818046999771852,25,26.179842573579748,0,0,,,0.5,50,25,26.179842573579748,0,20.23596851471595,2.7245795030534206,46.666666666666664,53.333333333333336,46.666666666666664,FALSE,53.333333333333336,46.666666666666664,9.44345197353411,0,19.6,13,High,Small denominator,TRUE
PALAU__NGCHESAR,PALAU,PALAU,NGCHESAR,NGCHESAR,7.456239545352651,134.584735977813,319,38000000,38,8.394736842105264,17,9,52.94117647058824,47.05882352941176,47.05882352941176,14,1,92.85714285714286,15.638603696098563,23.628323334809636,25,26.9587040839608,0,0,,,0,0,25,26.9587040839608,0,20.39174081679216,2.2401496220532535,20,80,20,FALSE,80,20,4.078348163358433,0,19.3,14,Low,Ready,TRUE
PALAU__AIMELIIK,PALAU,PALAU,AIMELIIK,AIMELIIK,7.4436873932720315,134.50631201192903,363,37000000,37,9.81081081081081,15,6,40,60,60,15,0,100,36,26.11019849418206,25,25,0,0,,,0,0,25,25,0,20,2.3805466344637574,26.666666666666668,73.33333333333333,26.666666666666668,FALSE,73.33333333333333,26.666666666666668,5.333333333333334,0,18.9,15,Low,Ready,TRUE
PALAU__SONSOROL,PALAU,PALAU,SONSOROL,SONSOROL,5.331,132.2206,53,3000000,3,17.666666666666668,0,0,,,,0,0,,,,,,0,,,,1,100,,,,,2.9267394020670396,53.333333333333336,46.666666666666664,53.333333333333336,FALSE,46.666666666666664,53.333333333333336,,0,,,,Small denominator,TRUE
