community_id,state,region,county,vaccine,eligible_children,children_utd,children_due,vaccine_coverage
PALAU__AIMELIIK,PALAU,PALAU,AIMELIIK,DTaP,15,9,6,60
PALAU__AIMELIIK,PALAU,PALAU,AIMELIIK,HepB,15,15,0,100
PALAU__AIMELIIK,PALAU,PALAU,AIMELIIK,Hib,15,14,1,93.33333333333333
PALAU__AIMELIIK,PALAU,PALAU,AIMELIIK,IPV,15,9,6,60
PALAU__AIMELIIK,PALAU,PALAU,AIMELIIK,MMR,15,15,0,100
PALAU__AIMELIIK,PALAU,PALAU,AIMELIIK,PCV,15,15,0,100
PALAU__AIRAI,PALAU,PALAU,AIRAI,DTaP,134,96,38,71.64179104477611
PALAU__AIRAI,PALAU,PALAU,AIRAI,HepB,134,131,3,97.76119402985074
PALAU__AIRAI,PALAU,PALAU,AIRAI,Hib,134,121,13,90.29850746268657
PALAU__AIRAI,PALAU,PALAU,AIRAI,IPV,134,104,30,77.61194029850746
PALAU__AIRAI,PALAU,PALAU,AIRAI,MMR,125,117,8,93.6
PALAU__AIRAI,PALAU,PALAU,AIRAI,PCV,134,125,9,93.28358208955224
PALAU__ANGAUR,PALAU,PALAU,ANGAUR,DTaP,4,1,3,25
PALAU__ANGAUR,PALAU,PALAU,ANGAUR,HepB,4,4,0,100
PALAU__ANGAUR,PALAU,PALAU,ANGAUR,Hib,4,4,0,100
PALAU__ANGAUR,PALAU,PALAU,ANGAUR,IPV,4,2,2,50
PALAU__ANGAUR,PALAU,PALAU,ANGAUR,MMR,4,4,0,100
PALAU__ANGAUR,PALAU,PALAU,ANGAUR,PCV,4,4,0,100
PALAU__HATOHOBEI,PALAU,PALAU,HATOHOBEI,DTaP,1,1,0,100
PALAU__HATOHOBEI,PALAU,PALAU,HATOHOBEI,HepB,1,1,0,100
PALAU__HATOHOBEI,PALAU,PALAU,HATOHOBEI,Hib,1,1,0,100
PALAU__HATOHOBEI,PALAU,PALAU,HATOHOBEI,IPV,1,1,0,100
PALAU__HATOHOBEI,PALAU,PALAU,HATOHOBEI,MMR,1,1,0,100
PALAU__HATOHOBEI,PALAU,PALAU,HATOHOBEI,PCV,1,1,0,100
PALAU__KAYANGEL,PALAU,PALAU,KAYANGEL,DTaP,7,5,2,71.42857142857143
PALAU__KAYANGEL,PALAU,PALAU,KAYANGEL,HepB,7,7,0,100
PALAU__KAYANGEL,PALAU,PALAU,KAYANGEL,Hib,7,6,1,85.71428571428571
PALAU__KAYANGEL,PALAU,PALAU,KAYANGEL,IPV,7,5,2,71.42857142857143
PALAU__KAYANGEL,PALAU,PALAU,KAYANGEL,MMR,7,7,0,100
PALAU__KAYANGEL,PALAU,PALAU,KAYANGEL,PCV,7,7,0,100
PALAU__KOROR,PALAU,PALAU,KOROR,DTaP,936,644,292,68.80341880341881
PALAU__KOROR,PALAU,PALAU,KOROR,HepB,936,898,38,95.94017094017094
PALAU__KOROR,PALAU,PALAU,KOROR,Hib,936,818,118,87.3931623931624
PALAU__KOROR,PALAU,PALAU,KOROR,IPV,936,727,209,77.67094017094017
PALAU__KOROR,PALAU,PALAU,KOROR,MMR,853,782,71,91.67643610785463
PALAU__KOROR,PALAU,PALAU,KOROR,PCV,936,845,91,90.27777777777777
PALAU__MELEKEOK,PALAU,PALAU,MELEKEOK,DTaP,19,13,6,68.42105263157895
PALAU__MELEKEOK,PALAU,PALAU,MELEKEOK,HepB,19,19,0,100
PALAU__MELEKEOK,PALAU,PALAU,MELEKEOK,Hib,19,15,4,78.94736842105263
PALAU__MELEKEOK,PALAU,PALAU,MELEKEOK,IPV,19,14,5,73.6842105263158
PALAU__MELEKEOK,PALAU,PALAU,MELEKEOK,MMR,19,16,3,84.21052631578948
PALAU__MELEKEOK,PALAU,PALAU,MELEKEOK,PCV,19,17,2,89.47368421052632
PALAU__NGARAARD,PALAU,PALAU,NGARAARD,DTaP,19,13,6,68.42105263157895
PALAU__NGARAARD,PALAU,PALAU,NGARAARD,HepB,19,19,0,100
PALAU__NGARAARD,PALAU,PALAU,NGARAARD,Hib,19,17,2,89.47368421052632
PALAU__NGARAARD,PALAU,PALAU,NGARAARD,IPV,19,15,4,78.94736842105263
PALAU__NGARAARD,PALAU,PALAU,NGARAARD,MMR,19,18,1,94.73684210526316
PALAU__NGARAARD,PALAU,PALAU,NGARAARD,PCV,19,17,2,89.47368421052632
PALAU__NGARCHELONG,PALAU,PALAU,NGARCHELONG,DTaP,32,22,10,68.75
PALAU__NGARCHELONG,PALAU,PALAU,NGARCHELONG,HepB,32,30,2,93.75
PALAU__NGARCHELONG,PALAU,PALAU,NGARCHELONG,Hib,32,30,2,93.75
PALAU__NGARCHELONG,PALAU,PALAU,NGARCHELONG,IPV,32,26,6,81.25
PALAU__NGARCHELONG,PALAU,PALAU,NGARCHELONG,MMR,30,28,2,93.33333333333333
PALAU__NGARCHELONG,PALAU,PALAU,NGARCHELONG,PCV,32,28,4,87.5
PALAU__NGARDMAU,PALAU,PALAU,NGARDMAU,DTaP,15,8,7,53.333333333333336
PALAU__NGARDMAU,PALAU,PALAU,NGARDMAU,HepB,15,15,0,100
PALAU__NGARDMAU,PALAU,PALAU,NGARDMAU,Hib,15,12,3,80
PALAU__NGARDMAU,PALAU,PALAU,NGARDMAU,IPV,15,10,5,66.66666666666667
PALAU__NGARDMAU,PALAU,PALAU,NGARDMAU,MMR,15,13,2,86.66666666666667
PALAU__NGARDMAU,PALAU,PALAU,NGARDMAU,PCV,15,13,2,86.66666666666667
PALAU__NGAREMLENGUI,PALAU,PALAU,NGAREMLENGUI,DTaP,32,23,9,71.875
PALAU__NGAREMLENGUI,PALAU,PALAU,NGAREMLENGUI,HepB,32,28,4,87.5
PALAU__NGAREMLENGUI,PALAU,PALAU,NGAREMLENGUI,Hib,32,28,4,87.5
PALAU__NGAREMLENGUI,PALAU,PALAU,NGAREMLENGUI,IPV,32,25,7,78.125
PALAU__NGAREMLENGUI,PALAU,PALAU,NGAREMLENGUI,MMR,28,26,2,92.85714285714286
PALAU__NGAREMLENGUI,PALAU,PALAU,NGAREMLENGUI,PCV,32,28,4,87.5
PALAU__NGATPANG,PALAU,PALAU,NGATPANG,DTaP,15,10,5,66.66666666666667
PALAU__NGATPANG,PALAU,PALAU,NGATPANG,HepB,15,14,1,93.33333333333333
PALAU__NGATPANG,PALAU,PALAU,NGATPANG,Hib,15,14,1,93.33333333333333
PALAU__NGATPANG,PALAU,PALAU,NGATPANG,IPV,15,12,3,80
PALAU__NGATPANG,PALAU,PALAU,NGATPANG,MMR,12,10,2,83.33333333333333
PALAU__NGATPANG,PALAU,PALAU,NGATPANG,PCV,15,13,2,86.66666666666667
PALAU__NGCHESAR,PALAU,PALAU,NGCHESAR,DTaP,17,9,8,52.94117647058823
PALAU__NGCHESAR,PALAU,PALAU,NGCHESAR,HepB,17,16,1,94.11764705882354
PALAU__NGCHESAR,PALAU,PALAU,NGCHESAR,Hib,17,14,3,82.3529411764706
PALAU__NGCHESAR,PALAU,PALAU,NGCHESAR,IPV,17,11,6,64.70588235294117
PALAU__NGCHESAR,PALAU,PALAU,NGCHESAR,MMR,14,13,1,92.85714285714286
PALAU__NGCHESAR,PALAU,PALAU,NGCHESAR,PCV,17,15,2,88.23529411764706
PALAU__NGIWAL,PALAU,PALAU,NGIWAL,DTaP,17,11,6,64.70588235294117
PALAU__NGIWAL,PALAU,PALAU,NGIWAL,HepB,17,16,1,94.11764705882354
PALAU__NGIWAL,PALAU,PALAU,NGIWAL,Hib,17,15,2,88.23529411764706
PALAU__NGIWAL,PALAU,PALAU,NGIWAL,IPV,17,14,3,82.3529411764706
PALAU__NGIWAL,PALAU,PALAU,NGIWAL,MMR,15,14,1,93.33333333333333
PALAU__NGIWAL,PALAU,PALAU,NGIWAL,PCV,17,17,0,100
PALAU__PELELIU,PALAU,PALAU,PELELIU,DTaP,23,16,7,69.56521739130434
PALAU__PELELIU,PALAU,PALAU,PELELIU,HepB,23,23,0,100
PALAU__PELELIU,PALAU,PALAU,PELELIU,Hib,23,20,3,86.95652173913044
PALAU__PELELIU,PALAU,PALAU,PELELIU,IPV,23,19,4,82.6086956521739
PALAU__PELELIU,PALAU,PALAU,PELELIU,MMR,21,21,0,100
