geography_assignment_source,county,clinic,children
Valid county field,KOROR,WBC,728
Valid county field,AIRAI,WBC,110
Valid county field,KOROR,DELIVERY,55
Valid county field,KOROR,OUTREACH,43
Valid county field,NGAREMLENGUI,WBC,31
Valid county field,KOROR,NATIONAL GYM COVID VACCINATIONS,28
Valid county field,NGARCHELONG,WBC,27
Valid county field,MELEKEOK,WBC,18
Valid county field,NGARAARD,WBC,17
Valid county field,NGIWAL,WBC,16
Valid county field,AIMELIIK,WBC,15
Valid county field,KOROR,CDU,15
Valid county field,NGATPANG,WBC,14
Valid county field,PELELIU,OUTREACH,14
Valid county field,NGARDMAU,WBC,13
Valid county field,KOROR,AGING CENTER,11
Valid county field,NGCHESAR,WBC,11
Valid county field,AIRAI,OUTREACH,9
Valid county field,PELELIU,WBC,8
Valid county field,KOROR,FSM IMMUNIZATION PROGRAM (AUTOMATED EXCHANGE),7
Valid county field,AIRAI,DELIVERY,6
Valid county field,KOROR,IMMUNIZATION CLINIC,6
Valid county field,KOROR,AIRAI OUTREACH,5
Valid county field,KOROR,GUAM IMMUNIZATION PROGRAM (AUTOMATED EXCHANGE),5
Valid county field,KOROR,RMI IMMUNIZATION PROGRAM (AUTOMATED EXCHANGE),5
Valid county field,AIRAI,CDU,4
Valid county field,KAYANGEL,WBC,4
Valid county field,KOROR,AMERICAN SAMOA IMMUNIZATION PROGRAM (AUTOMATED EXC,4
Valid county field,KOROR,HEPATITIS B CLINIC,4
Valid county field,KOROR,BNH ER,3
Valid county field,KOROR,CCHC COVID VACCINATION CLINIC,3
Valid county field,KOROR,HOME HEALTH (CHU),3
Valid county field,KOROR,PCC CAFETERIA COVID VACCINATION,3
Valid county field,KOROR,SCHOOL,3
Valid county field,NGARCHELONG,DELIVERY,3
Valid county field,ANGAUR,WBC,2
Valid county field,KAYANGEL,OUTREACH,2
Valid county field,KOROR,FLU VACCINATION CLINIC,2
Valid county field,KOROR,PW AIRPORT,2
Valid county field,NGARDMAU,DELIVERY,2
Valid county field,NGCHESAR,DELIVERY,2
Valid county field,NGCHESAR,OUTREACH,2
Valid county field,AIRAI,AIRAI OUTREACH,1
Valid county field,AIRAI,BNH OPD,1
Valid county field,AIRAI,FLU VACCINATION CLINIC,1
Valid county field,AIRAI,NATIONAL GYM COVID VACCINATIONS,1
Valid county field,AIRAI,PELELIU OUTREACH,1
Valid county field,ANGAUR,ANGAUR COVID VACCINATION,1
Valid county field,ANGAUR,OUTREACH,1
Valid county field,HATOHOBEI,WBC,1
Valid county field,KAYANGEL,DELIVERY,1
Valid county field,KOROR,PALAU IMMUNIZATION PROGRAM,1
Valid county field,MELEKEOK,OUTREACH,1
Valid county field,NGARAARD,CDU,1
Valid county field,NGARAARD,DELIVERY,1
Valid county field,NGARCHELONG,CDU,1
Valid county field,NGARCHELONG,NATIONAL GYM COVID VACCINATIONS,1
Valid county field,NGAREMLENGUI,OUTREACH,1
Valid county field,NGATPANG,DELIVERY,1
Valid county field,NGCHESAR,AIRAI OUTREACH,1
Valid county field,NGCHESAR,IMMUNIZATION CLINIC,1
Valid county field,NGIWAL,DELIVERY,1
Valid county field,PELELIU,DELIVERY,1
