reminder_coordinate_source,reminder_location,children
Palau county coordinate workbook,Koror,936
Palau county coordinate workbook,Airai,134
Palau county coordinate workbook,Ngarchelong,32
Palau county coordinate workbook,Ngaremlengui,32
Palau county coordinate workbook,Peleliu,23
Palau county coordinate workbook,Melekeok,19
Palau county coordinate workbook,Ngaraard,19
Palau county coordinate workbook,Ngchesar,17
Palau county coordinate workbook,Ngiwal,17
Palau county coordinate workbook,Aimeliik,15
Palau county coordinate workbook,Ngardmau,15
Palau county coordinate workbook,Ngatpang,15
Palau county coordinate workbook,Kayangel,7
Palau county coordinate workbook,Angaur,4
Palau county coordinate workbook,Hatohobei,1
